País,Clics,Impresiones,CTR,Posición
Estados Unidos,8,1897,0.42%,23.01
Nigeria,1,2,50%,11.5
Reino Unido,0,8,0%,17
Canadá,0,4,0%,5.25
Pakistán,0,3,0%,43
Bangladés,0,2,0%,8.5
Francia,0,2,0%,12.5
Irlanda,0,2,0%,34.5
Vietnam,0,2,0%,40
Indonesia,0,2,0%,44.5
Dinamarca,0,1,0%,1
Suiza,0,1,0%,6
Japón,0,1,0%,6
España,0,1,0%,11
Estonia,0,1,0%,24
Bolivia,0,1,0%,27
México,0,1,0%,40
La India,0,1,0%,48
Malasia,0,1,0%,81
Sudáfrica,0,1,0%,89
