# ----------------------------------------
# Adquisición de usuarios: Primer grupo de canales principal del usuario (Grupo de canales predeterminado)
# Cuenta: jozaguts
# Propiedad: lambert-works
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260819
# Fecha de finalización: 20260915
Primer grupo de canales principal del usuario (Grupo de canales predeterminado),Total de usuarios,Usuarios nuevos,Usuarios recurrentes,Tiempo de interacción medio por usuario activo,Sesiones con interacción por usuario activo,Número de eventos,Eventos clave,Tasa de evento clave de usuarios
Direct,23,24,0,3.5217391304347827,0.30434782608695654,115,0,0
Organic Search,7,7,1,28.571428571428573,0.8571428571428571,42,0,0
Organic Social,1,1,0,7,1,5,0,0
